Year,World,Asia,Africa,Europe,South/Central America,North America,Oceania
2000,6144,3741,811,726,522,312,31
2005,6542,3978,916,729,558,327,34
2010,6957,4210,1039,736,591,343,37
2015,7380,4434,1182,743,624,357,40
2020,7795,4641,1341,748,654,369,43
2025,8184,4823,1509,746,682,380,45
2030,8549,4974,1688,741,706,391,48
2035,8888,5096,1878,735,726,401,50
2040,9199,5189,2077,728,742,410,53
2045,9482,5253,2282,720,754,418,55
2050,9735,5290,2489,711,762,425,57
2055,9958,5302,2698,700,767,432,60
2060,10152,5289,2905,689,768,439,62
2065,10318,5256,3109,677,765,447,64
2070,10459,5207,3308,667,759,454,66
2075,10577,5143,3499,657,750,461,67
2080,10674,5068,3681,650,739,468,69
2085,10750,4987,3851,643,726,474,71
2090,10810,4901,4008,638,711,479,72
2095,10852,4812,4152,634,696,485,74
2100,10875,4719,4280,630,680,491,75
